kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc,deck_rep
addusxx_g,BaO_nat002,64000,18643,1,0,10.145000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,1,9.957000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,2,9.998000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,3,9.988000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,4,10.020000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,5,10.028000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,6,9.998000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,7,9.986000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,8,10.004000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,9,9.954000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,10,10.022000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,11,10.038000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,12,9.969000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,13,9.946000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,14,9.971000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,15,10.000000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,16,9.986000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,17,10.129000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,18,10.008000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,1,19,9.966000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,2,0,5.116000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,2,1,5.103000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,2,2,5.081000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,2,3,5.100000,set0,flang-openmp,mimalloc,1
